A4GALT	alpha 1,4-galactosyltransferase (P blood group)	P1	A14GALT	Gb3S	P(k)	Gb3 synthase	CD77 synthase	globotriaosylceramide synthase	lactosylceramide 4-alpha-galactosyltransferase							
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	alpha4GnT														
AACS	acetoacetyl-CoA synthetase	FLJ12389	SUR-5	ACSF1	acyl-CoA synthetase family member 1											
AADAC	arylacetamide deacetylase	DAC	CES5A1													
AADAT	aminoadipate aminotransferase	KATII	KAT2	KYAT2	kynurenine aminotransferase II	L kynurenine/alpha aminoadipate aminotransferase										
AANAT	aralkylamine N-acetyltransferase	SNAT	serotonin N-acetyltransferase													
AASS	aminoadipate-semialdehyde synthase	LORSDH	LKRSDH	alpha-aminoadipic semialdehyde synthase	lysine ketoglutarate reductase/saccharopine dehydrogenase											
ABAT	4-aminobutyrate aminotransferase	GABAT	GABA-T	4-aminobutyrate transaminase	gamma-aminobutyrate aminotransferase	GABA transaminase										
ABCA1	ATP binding cassette subfamily A member 1	ABC1	HDLDT1	TGD	Tangier disease											
ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C	EST111653	LBM180											
ABCA4	ATP binding cassette subfamily A member 4	STGD1	ABCR	RP19	STGD	FFM	ARMD2	CORD3	Stargardt disease							
ABCA8	ATP binding cassette subfamily A member 8	KIAA0822														
ABCB1	ATP binding cassette subfamily B member 1	PGY1	MDR1	CLCS	P-gp	CD243	GP170	ABC20	multidrug resistance protein 1							
ABCB4	ATP binding cassette subfamily B member 4	PGY3	MDR3	MDR2	PFIC-3	GBD1										
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	EST45597	umat	MTABC3	ATP-binding cassette half-transporter											
ABCB11	ATP binding cassette subfamily B member 11	BSEP	PFIC2	ABC16	SPGP	PFIC-2	PGY4	ABC member 16, MDR/TAP subfamily								
ABCC1	ATP binding cassette subfamily C member 1	MRP	MRP1	GS-X												
ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS	MRP2	cMRP											
ABCC3	ATP binding cassette subfamily C member 3	MRP3	cMOAT2	EST90757	MLP2	MOAT-D	canalicular multispecific organic anion transporter 2									
ABCC4	ATP binding cassette subfamily C member 4	MRP4	EST170205	MOAT-B	MOATB	canalicular multispecific organic anion transporter (ABC superfamily)	bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)	multidrug resistance-associated protein 4	multispecific organic anion transporter B							
ABCC5	ATP binding cassette subfamily C member 5	MRP5	SMRP	EST277145	MOAT-C											
ABCC8	ATP binding cassette subfamily C member 8	SUR	HRINS	HI	PHHI	SUR1	MRP8	ABC36	HHF1	TNDM2	sulfonylurea receptor (hyperinsulinemia)					
ABCC9	ATP binding cassette subfamily C member 9	SUR2	CMD1O	sulfonylurea receptor 2												
ABCC11	ATP binding cassette subfamily C member 11	MRP8														
ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN	ALDP	adrenoleukodystrophy											
ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR	ALDRP												
ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70	ZWS2												
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	EST157481	MXR	BCRP	ABCP	CD338										
ABCG5	ATP binding cassette subfamily G member 5	STSL	sterolin 1													
ABCG8	ATP binding cassette subfamily G member 8	GBD4	gallbladder disease 4	sterolin 2												
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	CGI-58	NCIE2													
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	A3GALNT	A3GALT1													
ACAA1	acetyl-CoA acyltransferase 1	peroxisomal 3-oxoacyl-Coenzyme A thiolase														
ACAA2	acetyl-CoA acyltransferase 2	DSAEC	mitochondrial 3-oxoacyl-Coenzyme A thiolase													
ACACA	acetyl-CoA carboxylase alpha	ACAC	ACC	ACC1	acetyl-CoA carboxylase 1											
ACACB	acetyl-CoA carboxylase beta	HACC275	ACC2	ACCB	acetyl-CoA carboxylase 2											
ACAD8	acyl-CoA dehydrogenase family member 8	isobutyryl-CoA dehydrogenase														
ACAD9	acyl-CoA dehydrogenase family member 9	NPD002	MGC14452													
ACAD10	acyl-CoA dehydrogenase family member 10	MGC5601														
ACAD11	acyl-CoA dehydrogenase family member 11	FLJ12592														
ACADL	acyl-CoA dehydrogenase long chain	LCAD	ACAD4													
ACADM	acyl-CoA dehydrogenase medium chain	MCAD	MCADH	ACAD1	medium-chain acyl-CoA dehydrogenase											
ACADS	acyl-CoA dehydrogenase short chain	SCAD	ACAD3													
ACADSB	acyl-CoA dehydrogenase short/branched chain	SBCAD	ACAD7													
ACADVL	acyl-CoA dehydrogenase very long chain	VLCAD	LCACD	ACAD6												
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	acetoacetyl Coenzyme A thiolase												
ACAT2	acetyl-CoA acetyltransferase 2	acetoacetyl Coenzyme A thiolase														
ACE	angiotensin I converting enzyme	DCP1	ACE1	CD143	peptidyl-dipeptidase A											
ACE2	angiotensin I converting enzyme 2	peptidyl-dipeptidase A														
ACER1	alkaline ceramidase 1	ASAH3														
ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587	ALKCDase2												
ACER3	alkaline ceramidase 3	PHCA	FLJ11238	APHC	alkaline phytoceramidase											
ACHE	acetylcholinesterase (Cartwright blood group)	YT	Yt blood group													
ACLY	ATP citrate lyase	ATPCL	CLATP	ACL	ATP citrate synthase											
ACMSD	aminocarboxymuconate semialdehyde decarboxylase															
ACO1	aconitase 1	IREB1	IRP1	IREBP	aconitate hydratase, cytoplasmic	soluble aconitase	cytosplasmic aconitase									
ACO2	aconitase 2	ACONM	aconitate hydratase, mitochondrial	mitochondrial aconitase												
ACOT1	acyl-CoA thioesterase 1	ACH2	CTE-1	LACH2												
ACOT2	acyl-CoA thioesterase 2	Mte1	ZAP128	mitochondrial acyl-CoA thioesterase 1												
ACOT4	acyl-CoA thioesterase 4	FLJ31235	PTE-Ib	PTE2B												
ACOT6	acyl-CoA thioesterase 6	C14orf42														
ACOT7	acyl-CoA thioesterase 7	BACH	ACH1	ACT	CTE-II	LACH1	MGC1126	hBACH	brain acyl CoA hydrolase							
ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III	hTE	PTE-2	NAP1	choloyl-CoA hydrolase	Nef (lentivirus myristoylated factor) associated protein 1								
ACOT11	acyl-CoA thioesterase 11	THEA	STARD14	BFIT	KIAA0707	BFIT1	THEM1	StAR-related lipid transfer (START) domain containing 14								
ACOT12	acyl-CoA thioesterase 12	Cach	THEAL	STARD15	StAR-related lipid transfer (START) domain containing 15											
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012													
ACOX1	acyl-CoA oxidase 1	PALMCOX	palmitoyl-CoA oxidase													
ACOX2	acyl-CoA oxidase 2	BRCACOX	BRCOX	THCCox	trihydroxycoprostanoyl-CoA oxidase	3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase	branched chain acyl-CoA oxidase									
ACOX3	acyl-CoA oxidase 3, pristanoyl															
ACP1	acid phosphatase 1	HAAP	LMW-PTP	LMWPTP	acid phosphatase of erythrocyte	low molecular weight phosphotyrosine protein phosphatase	red cell acid phosphatase									
ACP2	acid phosphatase 2, lysosomal	LAP	lysosomal acid phosphatase													
ACP5	acid phosphatase 5, tartrate resistant	TRAP	HPAP	tartrate-resistant acid phosphatase	human purple acid phosphatase											
ACP6	acid phosphatase 6, lysophosphatidic	LPAP	ACPL1	lysophosphatidic acid phosphatase												
ACP7	acid phosphatase 7, tartrate resistant (putative)	FLJ16165	PAPL1	PAPL	purple acid phosphatase long form 1											
ACSBG1	acyl-CoA synthetase bubblegum family member 1	BGM	FLJ30320	MGC14352	BG1	KIAA0631	hBG1	hsBG	bubblegum	very long-chain acyl-CoA synthetase	lipidosin					
ACSBG2	acyl-CoA synthetase bubblegum family member 2	BGR	PRTD-NY3	DKFZp434K1635	bubblegum related protein											
ACSL1	acyl-CoA synthetase long chain family member 1	FACL2	LACS2	LACS	ACS1	LACS1	FACL1	lignoceroyl-CoA synthase	long-chain fatty-acid-coenzyme A ligase 1							
ACSL3	acyl-CoA synthetase long chain family member 3	FACL3	ACS3	PRO2194												
ACSL4	acyl-CoA synthetase long chain family member 4	FACL4	MRX63	MRX68	ACS4	LACS4	lignoceroyl-CoA synthase	 long-chain fatty-acid-Coenzyme A ligase 4								
ACSL5	acyl-CoA synthetase long chain family member 5	FACL5	ACS5	ACS2	FACL5 for fatty acid coenzyme A ligase 5	long-chain acyl-CoA synthetase 5	long-chain fatty acid coenzyme A ligase 5	fatty-acid-Coenzyme A ligase, long-chain 5								
ACSL6	acyl-CoA synthetase long chain family member 6	FACL6	KIAA0837	ACS2	LACS5	LACS2										
ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1	MACS1													
ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2	A-923A4.1	MGC150530												
ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2	HXMA	HYST1046	xenobiotic/medium chain fatty acid:CoA ligase											
ACSM3	acyl-CoA synthetase medium chain family member 3	SAH	SA													
ACSM4	acyl-CoA synthetase medium chain family member 4	similar to olfactory specific medium-chain acyl CoA synthetase														
ACSM5	acyl-CoA synthetase medium chain family member 5	FLJ20581														
ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L	dJ568C11.3	AceCS2L	MGC33843											
ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2	ACS	ACSA	AceCS	dJ1161H23.1										
ACSS3	acyl-CoA synthetase short chain family member 3	FLJ21963														
ACY1	aminoacylase 1															
ACY3	aminoacylase 3	HCBP1	MGC9740	ACY-3	N-acyl-aromatic-L-amino acid amidohydrolase											
ACYP1	acylphosphatase 1															
ACYP2	acylphosphatase 2															
ADA	adenosine deaminase	ADA1														
ADCY1	adenylate cyclase 1	DFNB44	AC1	adenylyl cyclase subtype 1												
ADCY2	adenylate cyclase 2	HBAC2	KIAA1060	AC2												
ADCY3	adenylate cyclase 3	AC3														
ADCY4	adenylate cyclase 4	AC4														
ADCY5	adenylate cyclase 5	AC5														
ADCY6	adenylate cyclase 6	AC6														
ADCY7	adenylate cyclase 7	KIAA0037	AC7													
ADCY8	adenylate cyclase 8	ADCY3	HBAC1	AC8												
ADCY9	adenylate cyclase 9	AC9														
ADCY10	adenylate cyclase 10	SAC	Sacy	SACI	HCA2	RP1-313L4.2	soluble adenylyl cyclase	Hypercalciuria, absorptive, 2								
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	ADH1														
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	ADH2														
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH3														
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	ADH-2														
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	FDH	ADH-3	ADHX	GSNOR	S-nitrosoglutathione reductase										
ADH6	alcohol dehydrogenase 6 (class V)	ADH-5														
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	ADH-4														
ADHFE1	alcohol dehydrogenase iron containing 1	FLJ32430	hydroxyacid-oxoacid transhydrogenase													
ADI1	acireductone dioxygenase 1	SIPL	MTCBP-1	ARD	APL1	FLJ10913	HMFT1638	mtnD	membrane-type 1 matrix metalloproteinase cytoplasmic tail binding protein-1							
ADK	adenosine kinase	AK	adenosine 5'-phosphotransferase													
ADO	2-aminoethanethiol dioxygenase	C10orf22	FLJ14547	cysteamine dioxygenase												
ADSL	adenylosuccinate lyase															
AFMID	arylformamidase	DKFZp686F03259	KF	kynurenine formamidase												
AGA	aspartylglucosaminidase	ASRG	glycosylasparaginase	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase												
AGK	acylglycerol kinase	MULK	FLJ10842													
AGMAT	agmatinase	FLJ23384														
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	LPAAT-alpha	lysophosphatidic acid acyltransferase, alpha													
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	BSCL	LPAAT-beta	lysophosphatidic acid acyltransferase-beta												
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	LPAAT-gamma	LPAAT3													
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	LPAAT-delta	dJ473J16.2	lysophosphatidic acid acyltransferase, delta												
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	FLJ11210	LPAAT-e	LPAAT-epsilon	lysophosphatidic acid acyltransferase, epsilon											
AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	SPAT	AGXT1	PH1	AGT	SPT	AGT1	oxalosis I	primary hyperoxaluria type 1	L-alanine: glyoxylate aminotransferase 1	glycolicaciduria					
AGXT2	alanine--glyoxylate aminotransferase 2	AGT2	beta-alanine-pyruvate aminotransferase	beta-ALAAT II												
AHCY	adenosylhomocysteinase	SAHH														
AHCYL1	adenosylhomocysteinase like 1	XPVKONA	IRBIT	PPP1R78	inositol 1,4,5-trisphosphate receptor-binding protein	protein phosphatase 1, regulatory subunit 78										
AICDA	activation induced cytidine deaminase	HIGM2	CDA2	ARP2	AID											
AK1	adenylate kinase 1															
AK2	adenylate kinase 2															
AK3	adenylate kinase 3	AK6	AK3L1	AKL3L1												
AK4	adenylate kinase 4	AK3	AK3L1													
AK5	adenylate kinase 5															
AK7	adenylate kinase 7	FLJ32864	FAP75	CFAP75												
AKR1A1	aldo-keto reductase family 1 member A1	ALR	DD3	dihydrodiol dehydrogenase 3	aldehyde reductase											
AKR1B1	aldo-keto reductase family 1 member B	ALDR1	AR	aldose reductase												
AKR1B10	aldo-keto reductase family 1 member B10	AKR1B11	AKR1B12	ARL-1	HIS	ARL1	HSI	ALDRLn	aldose reductase-like 1	aldo-keto reductase family 1, member B11 (aldose reductase-like)	aldose reductase-like peptide	aldose reductase-related protein	small intestine reductase			
AKR1B15	aldo-keto reductase family 1 member B15															
AKR1C1	aldo-keto reductase family 1 member C1	DDH1	DDH	MBAB	DD1	HAKRC	dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase									
AKR1C2	aldo-keto reductase family 1 member C2	DDH2	TDD	DD	BABP	DD2	HAKRD	MCDR2	dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III							
AKR1C3	aldo-keto reductase family 1 member C3	HSD17B5	KIAA0119	DDX	HAKRB	PGFS	dihydrodiol dehydrogenase X	prostaglandin F synthase	3-alpha hydroxysteroid dehydrogenase, type II							
AKR1C4	aldo-keto reductase family 1 member C4	CHDR	DD4	HAKRA	C11	3-alpha-HSD	CDR	MGC22581	chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4							
AKR1C8P	aldo-keto reductase family 1 member C8, pseudogene	AKR1CL1														
AKR1D1	aldo-keto reductase family 1 member D1	SRD5B1	delta 4-3-ketosteroid-5-beta-reductase													
AKR7A2	aldo-keto reductase family 7 member A2	AFAR	aflatoxin aldehyde reductase													
ALAD	aminolevulinate dehydratase	ALADH	PBGS	porphobilinogen synthase												
ALAS1	5'-aminolevulinate synthase 1	ALAS3	ALAS													
ALAS2	5'-aminolevulinate synthase 2	ASB	sideroblastic/hypochromic anemia													
ALDH1A1	aldehyde dehydrogenase 1 family member A1	PUMB1	ALDH1	RALDH1	retinaldehyde dehydrogenase 1											
ALDH1A2	aldehyde dehydrogenase 1 family member A2	RALDH2	retinaldehyde dehydrogenase 2													
ALDH1A3	aldehyde dehydrogenase 1 family member A3	ALDH6	RALDH3	retinaldehyde dehydrogenase 3												
ALDH1B1	aldehyde dehydrogenase 1 family member B1	ALDH5	ALDHX													
ALDH1L1	aldehyde dehydrogenase 1 family member L1	FTHFD	10-fTHF	FDH	cytosolic 10-formyltetrahydrofolate dehydrogenase											
ALDH1L2	aldehyde dehydrogenase 1 family member L2	FLJ38508	mtFDH	mitochondrial 10-formyltetrahydrofolate dehydrogenase												
ALDH2	aldehyde dehydrogenase 2 family member															
ALDH3A1	aldehyde dehydrogenase 3 family member A1	ALDH3	aldehyde dehydrogenase, dimeric NADP-preferring													
ALDH3A2	aldehyde dehydrogenase 3 family member A2	SLS	ALDH10	FALDH	fatty aldehyde dehydrogenase											
ALDH3B1	aldehyde dehydrogenase 3 family member B1	ALDH7	aldehyde dehydrogenase 7	aldehyde dehydrogenase 3B1												
ALDH3B2	aldehyde dehydrogenase 3 family member B2	ALDH8	aldehyde dehydrogenase 8	acetaldehyde dehydrogenase 8												
ALDH4A1	aldehyde dehydrogenase 4 family member A1	ALDH4	P5CDh	L-glutamate gamma-semialdehyde dehydrogenase	Delta-1-pyrroline-5-carboxylate dehydrogenase											
ALDH5A1	aldehyde dehydrogenase 5 family member A1	SSADH	SSDH	succinate-semialdehyde dehydrogenase												
ALDH6A1	aldehyde dehydrogenase 6 family member A1	MMSDH	malonate-semialdehyde dehydrogenase (acetylating)													
ALDH7A1	aldehyde dehydrogenase 7 family member A1	ATQ1	EPD	PDE	antiquitin 1	26g turgor protein homolog	alpha-aminoadipic semialdehyde dehydrogenase	alpha-AASA dehydrogenase	delta1-piperideine-6-carboxylate dehydrogenease	P6c dehydrogenase						
ALDH9A1	aldehyde dehydrogenase 9 family member A1	ALDH7	ALDH4	ALDH9	E3											
ALDH18A1	aldehyde dehydrogenase 18 family member A1	GSAS	PYCS	SPG9	P5CS	delta-1-pyrroline-5-carboxylate synthase										
ALDOA	aldolase, fructose-bisphosphate A															
ALDOB	aldolase, fructose-bisphosphate B															
ALDOC	aldolase, fructose-bisphosphate C															
ALG1L	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like	ALG1L1	asparagine-linked glycosylation 1-like 1													
ALG1L2	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2															
ALG5	ALG5 dolichyl-phosphate beta-glucosyltransferase	bA421P11.2														
ALG10	ALG10 alpha-1,2-glucosyltransferase	FLJ14751	DIE2	ALG10A	derepression of ITR1 expression 2 homolog (S. cerevisiae)	dolichyl-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-dolichol alpha-1,2- glucosyltransferase										
ALG12	ALG12 alpha-1,6-mannosyltransferase	ECM39	CDG1G	dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase	dol-P-Man dependent alpha-1,6-mannosyltransferase											
ALOX5	arachidonate 5-lipoxygenase	5-LOX														
ALOX12	arachidonate 12-lipoxygenase, 12S type	12S-LOX	platelet 12-LOX	Arachidonate 12-lipoxygenase, 12S-type												
ALOX15	arachidonate 15-lipoxygenase	15-LOX-1														
ALOX15B	arachidonate 15-lipoxygenase type B	15-LOX-2														
ALPI	alkaline phosphatase, intestinal	IAP	intestinal alkaline phosphatase													
ALPL	alkaline phosphatase, biomineralization associated	HOPS	TNSALP	TNALP	TNAP	tissue non-specific alkaline phosphatase										
ALPP	alkaline phosphatase, placental	PALP	PLAP	Regan isozyme	placental alkaline phosphatase											
AMACR	alpha-methylacyl-CoA racemase	RACE	P504S													
AMD1	adenosylmethionine decarboxylase 1	SAMDC														
AMDHD1	amidohydrolase domain containing 1	MGC35366														
AMDHD2	amidohydrolase domain containing 2	CGI-14	N-acetylglucosamine-6-phosphate deacetylase													
AMPD1	adenosine monophosphate deaminase 1	MAD	MADA	AMPD isoform M	skeletal muscle AMPD											
AMPD2	adenosine monophosphate deaminase 2	SPG63	AMPD isoform L													
AMPD3	adenosine monophosphate deaminase 3	erythrocyte-specific AMP deaminase														
AMT	aminomethyltransferase	GCST	NKH	glycine cleavage system protein T	nonketotic hyperglycinemia											
AMY1A	amylase alpha 1A	AMY1														
AMY1B	amylase alpha 1B	AMY1														
AMY1C	amylase alpha 1C	AMY1														
AMY2A	amylase alpha 2A	AMY2														
AMY2B	amylase alpha 2B	AMY2														
ANAPC11	anaphase promoting complex subunit 11	HSPC214	APC11	Apc11p	MGC882											
ANPEP	alanyl aminopeptidase, membrane	CD13	PEPN	LAP1	gp150	p150	aminopeptidase N	aminopeptidase M	microsomal aminopeptidase	membrane alanyl aminopeptidase						
AOC1	amine oxidase copper containing 1	ABP1	ABP	DAO	diamine oxidase											
AOC2	amine oxidase copper containing 2	RAO	DAO2													
AOC3	amine oxidase copper containing 3	VAP1	HPAO	VAP-1	vascular adhesion protein 1											
AOX1	aldehyde oxidase 1	AO	AOH1													
APRT	adenine phosphoribosyltransferase															
AQP1	aquaporin 1 (Colton blood group)	CO	CHIP28													
AQP2	aquaporin 2															
AQP3	aquaporin 3 (Gill blood group)	GIL	Gill blood group													
AQP4	aquaporin 4	MIWC														
AQP5	aquaporin 5															
AQP7	aquaporin 7	AQP7L	AQP9	AQPap												
AQP8	aquaporin 8															
AQP9	aquaporin 9	SSC1	HsT17287													
AQP10	aquaporin 10															
ARG1	arginase 1															
ARG2	arginase 2															
ARSA	arylsulfatase A	metachromatic leucodystrophy														
ARSB	arylsulfatase B															
ASAH1	N-acylsphingosine amidohydrolase 1	ASAH	AC	PHP32	FLJ21558	ACDase	acylsphingosine deacylase	acid ceramidase								
ASAH2	N-acylsphingosine amidohydrolase 2	neutral ceramidase	non-lysosomal ceramidase													
ASH1L	ASH1 like histone lysine methyltransferase	huASH1	ASH1	ASH1L1	KMT2H											
ASL	argininosuccinate lyase	ASAL														
ASMT	acetylserotonin O-methyltransferase	HIOMT	ASMTY	HIOMTY												
ASNS	asparagine synthetase (glutamine-hydrolyzing)															
ASPA	aspartoacylase	ASP	ACY2	aminoacylase 2	Canavan disease											
ASPG	asparaginase	C14orf76	60-kDa-lysophospholipase													
ASRGL1	asparaginase and isoaspartyl peptidase 1	FLJ22316	ALP1	ALP	asparaginase-like 1 protein											
ASS1	argininosuccinate synthase 1	ASS	CTLN1													
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	PURH	AICARFT	IMPCHASE	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase											
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	sodium/potassium-transporting ATPase subunit alpha-1	sodium pump subunit alpha-1	sodium-potassium ATPase catalytic subunit alpha-1												
ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	MHP2	FHM2	sodium/potassium-transporting ATPase subunit alpha-2	sodium pump subunit alpha-2	sodium-potassium ATPase catalytic subunit alpha-2										
ATP1A3	ATPase Na+/K+ transporting subunit alpha 3	DYT12	sodium/potassium-transporting ATPase subunit alpha-3	sodium pump subunit alpha-3	sodium-potassium ATPase catalytic subunit alpha-3											
ATP1A4	ATPase Na+/K+ transporting subunit alpha 4	ATP1AL2	sodium/potassium-transporting ATPase subunit alpha-4	sodium pump subunit alpha-4	sodium-potassium ATPase catalytic subunit alpha-4											
ATP1B1	ATPase Na+/K+ transporting subunit beta 1	ATP1B	sodium/potassium-transporting ATPase subunit beta-1	sodium pump subunit beta-1	sodium-potassium ATPase subunit beta 1 (non-catalytic)											
ATP1B2	ATPase Na+/K+ transporting subunit beta 2	AMOG	sodium/potassium-transporting ATPase subunit beta-2	sodium pump subunit beta-2	sodium-potassium ATPase subunit beta 2 (non-catalytic)											
ATP1B3	ATPase Na+/K+ transporting subunit beta 3	FLJ29027	CD298	sodium/potassium-transporting ATPase subunit beta-3	sodium pump subunit beta-3	sodium-potassium ATPase subunit beta 3 (non-catalytic)										
ATP1B4	ATPase Na+/K+ transporting family member beta 4	Na,K-ATPase beta m-subunit	BetaM													
ATP2B1	ATPase plasma membrane Ca2+ transporting 1	PMCA1	plasma membrane calcium-transporting ATPase 1													
ATP2B2	ATPase plasma membrane Ca2+ transporting 2	PMCA2	plasma membrane Ca2+ pump 2	plasma membrane calcium-transporting ATPase 2												
ATP2B3	ATPase plasma membrane Ca2+ transporting 3	SCAX1	CLA2	PMCA3	CFAP39	plasma membrane calcium-transporting ATPase 3	cilia and flagella associated protein 39									
ATP2B4	ATPase plasma membrane Ca2+ transporting 4	ATP2B2	MXRA1	PMCA4	plasma membrane calcium-transporting ATPase 4											
ATP4A	ATPase H+/K+ transporting subunit alpha	ATP6A	gastric H,K-ATPase alpha subunit	H(+)-K(+)-ATPase alpha subunit	proton pump											
ATP4B	ATPase H+/K+ transporting subunit beta	ATP6B														
ATP6V1A	ATPase H+ transporting V1 subunit A	VPP2	ATP6A1	ATP6V1A1	Vma1	VA68										
ATP6V1B1	ATPase H+ transporting V1 subunit B1	VPP3	ATP6B1	VATB	RTA1B	Vma2	Renal tubular acidosis with deafness									
ATP6V1B2	ATPase H+ transporting V1 subunit B2	VPP3	ATP6B2	VATB	Vma2	HO57										
ATP6V1C1	ATPase H+ transporting V1 subunit C1	ATP6D	ATP6C	VATC	Vma5											
ATP6V1C2	ATPase H+ transporting V1 subunit C2	VMA5	ATP6C2													
