A1BG	alpha-1-B glycoprotein																												
A1CF	APOBEC1 complementation factor	ACF	ASP	ACF64	ACF65	APOBEC1CF																							
A2M	alpha-2-macroglobulin	FWP007	S863-7	CPAMD5																									
A2ML1	alpha-2-macroglobulin like 1	CPAMD9	FLJ25179	p170																									
A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S	IGB3S	iGb3 synthase	isoglobotriaosylceramide synthase																							
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	P1	A14GALT	Gb3S	P(k)	Gb3 synthase	CD77 synthase	globotriaosylceramide synthase	lactosylceramide 4-alpha-galactosyltransferase																				
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	alpha4GnT																											
AAAS	aladin WD repeat nucleoporin	aladin	Allgrove, triple-A	adracalin																									
AACS	acetoacetyl-CoA synthetase	FLJ12389	SUR-5	ACSF1	acyl-CoA synthetase family member 1																								
AADAC	arylacetamide deacetylase	DAC	CES5A1																										
AADACL2	arylacetamide deacetylase like 2	MGC72001																											
AADACL3	arylacetamide deacetylase like 3	OTTHUMG00000001887																											
AADACL4	arylacetamide deacetylase like 4	OTTHUMG00000001889																											
AADAT	aminoadipate aminotransferase	KATII	KAT2	KYAT2	kynurenine aminotransferase II	L kynurenine/alpha aminoadipate aminotransferase																							
AAGAB	alpha and gamma adaptin binding protein	FLJ11506	p34																										
AAK1	AP2 associated kinase 1	KIAA1048	DKFZp686K16132																										
AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	PTD015	FLJ21035	CK067																								
AAMP	angio associated migratory cell protein																												
AANAT	aralkylamine N-acetyltransferase	SNAT	serotonin N-acetyltransferase																										
AAR2	AAR2 splicing factor	C20orf4	bA234K24.2																										
AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	Alanine and arginine-rich domain-containing protein																									
AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270	bA444E17.1	alanine tRNA ligase 2, mitochondrial																								
AARSD1	alanyl-tRNA synthetase domain containing 1	MGC2744																											
AASDH	aminoadipate-semialdehyde dehydrogenase	NRPS998	LYS2	ACSF4	acyl-CoA synthetase family member 4	Beta-alanine-activating enzyme																							
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	LYS5	CGI-80	AASD-PPT	ACPS	holo ACP synthase	holo-[acyl-carrier-protein] synthase																						
AASS	aminoadipate-semialdehyde synthase	LORSDH	LKRSDH	alpha-aminoadipic semialdehyde synthase	lysine ketoglutarate reductase/saccharopine dehydrogenase																								
AATF	apoptosis antagonizing transcription factor	DED	CHE-1	CHE1	BFR2																								
AATK	apoptosis associated tyrosine kinase	AATYK	KIAA0641	LMTK1	LMR1	AATYK1	PPP1R77	lemur tyrosine kinase 1	protein phosphatase 1, regulatory subunit 77																				
ABAT	4-aminobutyrate aminotransferase	GABAT	GABA-T	4-aminobutyrate transaminase	gamma-aminobutyrate aminotransferase	GABA transaminase																							
ABCA1	ATP binding cassette subfamily A member 1	ABC1	HDLDT1	TGD	Tangier disease																								
ABCA2	ATP binding cassette subfamily A member 2	ABC2																											
ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C	EST111653	LBM180																								
ABCA4	ATP binding cassette subfamily A member 4	STGD1	ABCR	RP19	STGD	FFM	ARMD2	CORD3	Stargardt disease																				
ABCA5	ATP binding cassette subfamily A member 5	EST90625																											
ABCA6	ATP binding cassette subfamily A member 6	EST155051																											
ABCA7	ATP binding cassette subfamily A member 7	ABCX																											
ABCA8	ATP binding cassette subfamily A member 8	KIAA0822																											
ABCA9	ATP binding cassette subfamily A member 9	EST640918																											
ABCA10	ATP binding cassette subfamily A member 10	EST698739																											
ABCA12	ATP binding cassette subfamily A member 12	ICR2B	DKFZP434G232	LI2																									
ABCA13	ATP binding cassette subfamily A member 13	FLJ33876	FLJ33951																										
ABCB1	ATP binding cassette subfamily B member 1	PGY1	MDR1	CLCS	P-gp	CD243	GP170	ABC20	multidrug resistance protein 1																				
ABCB4	ATP binding cassette subfamily B member 4	PGY3	MDR3	MDR2	PFIC-3	GBD1																							
ABCB5	ATP binding cassette subfamily B member 5	EST422562	ABCB5beta	ABCB5alpha	P-glycoprotein ABCB5	ATP-binding cassette protein																							
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	EST45597	umat	MTABC3	ATP-binding cassette half-transporter																								
ABCB7	ATP binding cassette subfamily B member 7	ABC7	EST140535	Atm1p	ASAT																								
ABCB8	ATP binding cassette subfamily B member 8	EST328128	M-ABC1	MABC1	MITOSUR	mitochondrial ABC protein																							
ABCB9	ATP binding cassette subfamily B member 9	EST122234																											
ABCB10	ATP binding cassette subfamily B member 10	EST20237	M-ABC2	MTABC2	ATP-binding cassette sub-family B member 10, mitochondrial	ATP-binding cassette transporter 10	ABC transporter 10 protein	mitochondrial ATP-binding cassette 2																					
ABCB11	ATP binding cassette subfamily B member 11	BSEP	PFIC2	ABC16	SPGP	PFIC-2	PGY4	ABC member 16, MDR/TAP subfamily																					
ABCC1	ATP binding cassette subfamily C member 1	MRP	MRP1	GS-X																									
ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS	MRP2	cMRP																								
ABCC3	ATP binding cassette subfamily C member 3	MRP3	cMOAT2	EST90757	MLP2	MOAT-D	canalicular multispecific organic anion transporter 2																						
ABCC4	ATP binding cassette subfamily C member 4	MRP4	EST170205	MOAT-B	MOATB	canalicular multispecific organic anion transporter (ABC superfamily)	bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)	multidrug resistance-associated protein 4	multispecific organic anion transporter B																				
ABCC5	ATP binding cassette subfamily C member 5	MRP5	SMRP	EST277145	MOAT-C																								
ABCC6	ATP binding cassette subfamily C member 6	ARA	PXE	MRP6	EST349056	MLP1	URG7																						
ABCC8	ATP binding cassette subfamily C member 8	SUR	HRINS	HI	PHHI	SUR1	MRP8	ABC36	HHF1	TNDM2	sulfonylurea receptor (hyperinsulinemia)																		
ABCC9	ATP binding cassette subfamily C member 9	SUR2	CMD1O	sulfonylurea receptor 2																									
ABCC10	ATP binding cassette subfamily C member 10	EST182763	MRP7	SIMRP7																									
ABCC11	ATP binding cassette subfamily C member 11	MRP8																											
ABCC12	ATP binding cassette subfamily C member 12	MRP9																											
ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN	ALDP	adrenoleukodystrophy																								
ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR	ALDRP																									
ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70	ZWS2																									
ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69	P70R	EST352188																								
ABCE1	ATP binding cassette subfamily E member 1	RNASEL1	RNASELI	RNS4I	RLI	OABP	RLI1	RNase L inhibitor 1																					
ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147																										
ABCF2	ATP binding cassette subfamily F member 2	EST133090	ABC28	M-ABC1	HUSSY-18																								
ABCF3	ATP binding cassette subfamily F member 3	EST201864																											
ABCG1	ATP binding cassette subfamily G member 1	ABC8	ATP-binding cassette transporter 8																										
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	EST157481	MXR	BCRP	ABCP	CD338																							
ABCG4	ATP binding cassette subfamily G member 4	WHITE2	putative ABC transporter	ATP-binding cassette, subfamily G, member 4																									
ABCG5	ATP binding cassette subfamily G member 5	STSL	sterolin 1																										
ABCG8	ATP binding cassette subfamily G member 8	GBD4	gallbladder disease 4	sterolin 2																									
ABHD1	abhydrolase domain containing 1	LABH1	FLJ36128																										
ABHD2	abhydrolase domain containing 2, acylglycerol lipase	LABH2																											
ABHD3	abhydrolase domain containing 3, phospholipase	LABH3																											
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	FLJ12816																											
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	CGI-58	NCIE2																										
ABHD6	abhydrolase domain containing 6, acylglycerol lipase																												
ABHD8	abhydrolase domain containing 8	FLJ11743	MGC14280	MGC2512																									
ABHD10	abhydrolase domain containing 10, depalmitoylase	FLJ11342	Mycophenolic acid acyl-glucuronide esterase, mitochondrial																										
ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226																										
ABHD12	abhydrolase domain containing 12, lysophospholipase	C20orf22	DKFZP434P106	dJ965G21.2	BEM46L2	ABHD12A																							
ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3																										
ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2	FLJ14906	BEM46L1																								
ABHD14A	abhydrolase domain containing 14A	DKFZP564O243	DORZ1																										
ABHD14A-ACY1	ABHD14A-ACY1 readthrough																												
ABHD14B	abhydrolase domain containing 14B	MGC15429	CIB																										
ABHD15	abhydrolase domain containing 15																												
ABHD16A	abhydrolase domain containing 16A, phospholipase	BAT5	NG26	D6S82E																									
ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1																										
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	C19orf27	FAM108A1	MGC5244																									
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	C9orf77	FAM108B1	CGI-67																									
ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FAM108C1																											
ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106																										
ABI1	abl interactor 1	SSH3BP1	E3B1	ABI-1																									
ABI2	abl interactor 2	ABI-2	AIP-1	ABI2B	AblBP3	argBPIA	SSH3BP2																						
ABI3	ABI family member 3	NESH	SSH3BP3																										
ABI3BP	ABI family member 3 binding protein	NESHBP	DKFZP586L2024	TARSH	target of Nesh-SH3																								
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7	c-ABL	p150																								
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG	Abelson-related gene																									
ABLIM1	actin binding LIM protein 1	LIMAB1	ABLIM	abLIM	limatin																								
ABLIM2	actin binding LIM protein family member 2	KIAA1808																											
ABLIM3	actin binding LIM protein family member 3	KIAA0843																											
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	A3GALNT	A3GALT1																										
ABR	ABR activator of RhoGEF and GTPase	MDB																											
ABRA	actin binding Rho activating protein	STARS	striated muscle activator of Rho-dependent signaling																										
ABRACL	ABRA C-terminal like	C6orf115	PRO2013	HSPC280	Costars																								
ABT1	activator of basal transcription 1	Esf2																											
ABTB1	ankyrin repeat and BTB domain containing 1	BPOZ	EF1ABP	Btb3	BTBD21																								
ABTB2	ankyrin repeat and BTB domain containing 2	DKFZP586C1619	BTBD22	ABTB2A																									
ACAA1	acetyl-CoA acyltransferase 1	peroxisomal 3-oxoacyl-Coenzyme A thiolase																											
ACAA2	acetyl-CoA acyltransferase 2	DSAEC	mitochondrial 3-oxoacyl-Coenzyme A thiolase																										
ACACA	acetyl-CoA carboxylase alpha	ACAC	ACC	ACC1	acetyl-CoA carboxylase 1																								
ACACB	acetyl-CoA carboxylase beta	HACC275	ACC2	ACCB	acetyl-CoA carboxylase 2																								
ACAD8	acyl-CoA dehydrogenase family member 8	isobutyryl-CoA dehydrogenase																											
ACAD9	acyl-CoA dehydrogenase family member 9	NPD002	MGC14452																										
ACAD10	acyl-CoA dehydrogenase family member 10	MGC5601																											
ACAD11	acyl-CoA dehydrogenase family member 11	FLJ12592																											
ACADL	acyl-CoA dehydrogenase long chain	LCAD	ACAD4																										
ACADM	acyl-CoA dehydrogenase medium chain	MCAD	MCADH	ACAD1	medium-chain acyl-CoA dehydrogenase																								
ACADS	acyl-CoA dehydrogenase short chain	SCAD	ACAD3																										
ACADSB	acyl-CoA dehydrogenase short/branched chain	SBCAD	ACAD7																										
ACADVL	acyl-CoA dehydrogenase very long chain	VLCAD	LCACD	ACAD6																									
ACAN	aggrecan	MSK16	CSPG1	AGC1	CSPGCP	aggrecan proteoglycan																							
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050																										
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041	CNT-B2																									
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716																										
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	acetoacetyl Coenzyme A thiolase																									
ACAT2	acetyl-CoA acetyltransferase 2	acetoacetyl Coenzyme A thiolase																											
ACBD3	acyl-CoA binding domain containing 3	GOLPH1	GOCAP1	GCP60	PAP7	PBR- and PKA-associated protein 7																							
ACBD4	acyl-CoA binding domain containing 4	FLJ13322																											
ACBD5	acyl-CoA binding domain containing 5	DKFZp434A2417	KIAA1996																										
ACBD6	acyl-CoA binding domain containing 6	MGC2404																											
ACBD7	acyl-CoA binding domain containing 7	FLJ38219	bA455B2.2																										
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	PHACS	ACS																										
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like																												
ACD	ACD shelterin complex subunit and telomerase recruitment factor	Ptop	Pip1	Tpp1	Tint1	TIN2 interacting protein 1	POT1 and TIN2 organizing protein																						
ACE	angiotensin I converting enzyme	DCP1	ACE1	CD143	peptidyl-dipeptidase A																								
ACE2	angiotensin I converting enzyme 2	peptidyl-dipeptidase A																											
ACER1	alkaline ceramidase 1	ASAH3																											
ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587	ALKCDase2																									
ACER3	alkaline ceramidase 3	PHCA	FLJ11238	APHC	alkaline phytoceramidase																								
ACHE	acetylcholinesterase (Cartwright blood group)	YT	Yt blood group																										
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670	fSAP152	functional spliceosome-associated protein 152																								
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY	DARC	CCBP1	GPD	Dfy	CD234	atypical chemokine receptor 1	glycoprotein D																				
ACKR2	atypical chemokine receptor 2	CMKBR9	CCBP2	CCR10	D6	CCR9																							
ACKR3	atypical chemokine receptor 3	CMKOR1	CXCR7	RDC1	GPR159																								
ACKR4	atypical chemokine receptor 4	CCRL1	CCR11	CCBP2	VSHK1	CCX-CKR	PPR1																						
ACLY	ATP citrate lyase	ATPCL	CLATP	ACL	ATP citrate synthase																								
ACMSD	aminocarboxymuconate semialdehyde decarboxylase																												
ACO1	aconitase 1	IREB1	IRP1	IREBP	aconitate hydratase, cytoplasmic	soluble aconitase	cytosplasmic aconitase																						
ACO2	aconitase 2	ACONM	aconitate hydratase, mitochondrial	mitochondrial aconitase																									
ACOD1	aconitate decarboxylase 1	IRG1	CAD																										
ACOT1	acyl-CoA thioesterase 1	ACH2	CTE-1	LACH2																									
ACOT2	acyl-CoA thioesterase 2	Mte1	ZAP128	mitochondrial acyl-CoA thioesterase 1																									
ACOT4	acyl-CoA thioesterase 4	FLJ31235	PTE-Ib	PTE2B																									
ACOT6	acyl-CoA thioesterase 6	C14orf42																											
ACOT7	acyl-CoA thioesterase 7	BACH	ACH1	ACT	CTE-II	LACH1	MGC1126	hBACH	brain acyl CoA hydrolase																				
ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III	hTE	PTE-2	NAP1	choloyl-CoA hydrolase	Nef (lentivirus myristoylated factor) associated protein 1																					
ACOT9	acyl-CoA thioesterase 9	CGI-16	MT-ACT48	ACATE2																									
ACOT11	acyl-CoA thioesterase 11	THEA	STARD14	BFIT	KIAA0707	BFIT1	THEM1	StAR-related lipid transfer (START) domain containing 14																					
ACOT12	acyl-CoA thioesterase 12	Cach	THEAL	STARD15	StAR-related lipid transfer (START) domain containing 15																								
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012																										
ACOX1	acyl-CoA oxidase 1	PALMCOX	palmitoyl-CoA oxidase																										
ACOX2	acyl-CoA oxidase 2	BRCACOX	BRCOX	THCCox	trihydroxycoprostanoyl-CoA oxidase	3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase	branched chain acyl-CoA oxidase																						
ACOX3	acyl-CoA oxidase 3, pristanoyl																												
ACOXL	acyl-CoA oxidase like	FLJ11042																											
ACP1	acid phosphatase 1	HAAP	LMW-PTP	LMWPTP	acid phosphatase of erythrocyte	low molecular weight phosphotyrosine protein phosphatase	red cell acid phosphatase																						
ACP2	acid phosphatase 2, lysosomal	LAP	lysosomal acid phosphatase																										
ACP5	acid phosphatase 5, tartrate resistant	TRAP	HPAP	tartrate-resistant acid phosphatase	human purple acid phosphatase																								
ACP6	acid phosphatase 6, lysophosphatidic	LPAP	ACPL1	lysophosphatidic acid phosphatase																									
ACP7	acid phosphatase 7, tartrate resistant (putative)	FLJ16165	PAPL1	PAPL	purple acid phosphatase long form 1																								
ACR	acrosin	preproacrosin	acrosin light and heavy chain prepropeptide																										
ACRBP	acrosin binding protein	SP32	OY-TES-1	CT23	proacrosin binding protein sp32	cancer/testis antigen 23																							
ACRV1	acrosomal vesicle protein 1	SPACA2	SP-10	D11S4365	sperm protein 10																								
ACSBG1	acyl-CoA synthetase bubblegum family member 1	BGM	FLJ30320	MGC14352	BG1	KIAA0631	hBG1	hsBG	bubblegum	very long-chain acyl-CoA synthetase	lipidosin																		
ACSBG2	acyl-CoA synthetase bubblegum family member 2	BGR	PRTD-NY3	DKFZp434K1635	bubblegum related protein																								
ACSF2	acyl-CoA synthetase family member 2	FLJ20920	ACSMW																										
ACSF3	acyl-CoA synthetase family member 3	malonyl-CoA synthetase																											
ACSL1	acyl-CoA synthetase long chain family member 1	FACL2	LACS2	LACS	ACS1	LACS1	FACL1	lignoceroyl-CoA synthase	long-chain fatty-acid-coenzyme A ligase 1																				
ACSL3	acyl-CoA synthetase long chain family member 3	FACL3	ACS3	PRO2194																									
ACSL4	acyl-CoA synthetase long chain family member 4	FACL4	MRX63	MRX68	ACS4	LACS4	lignoceroyl-CoA synthase	 long-chain fatty-acid-Coenzyme A ligase 4																					
ACSL5	acyl-CoA synthetase long chain family member 5	FACL5	ACS5	ACS2	FACL5 for fatty acid coenzyme A ligase 5	long-chain acyl-CoA synthetase 5	long-chain fatty acid coenzyme A ligase 5	fatty-acid-Coenzyme A ligase, long-chain 5																					
ACSL6	acyl-CoA synthetase long chain family member 6	FACL6	KIAA0837	ACS2	LACS5	LACS2																							
ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1	MACS1																										
ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2	A-923A4.1	MGC150530																									
ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2	HXMA	HYST1046	xenobiotic/medium chain fatty acid:CoA ligase																								
ACSM3	acyl-CoA synthetase medium chain family member 3	SAH	SA																										
ACSM4	acyl-CoA synthetase medium chain family member 4	similar to olfactory specific medium-chain acyl CoA synthetase																											
ACSM5	acyl-CoA synthetase medium chain family member 5	FLJ20581																											
ACSM6	acyl-CoA synthetase medium chain family member 6	C10orf129	bA310E22.3																										
ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L	dJ568C11.3	AceCS2L	MGC33843																								
ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2	ACS	ACSA	AceCS	dJ1161H23.1																							
ACSS3	acyl-CoA synthetase short chain family member 3	FLJ21963																											
ACTA1	actin alpha 1, skeletal muscle	ACTA	NEM3	nemaline myopathy type 3																									
ACTA2	actin alpha 2, smooth muscle	ACTSA																											
ACTB	actin beta	β-actin																											
ACTBL2	actin beta like 2	DKFZp686D0972																											
ACTC1	actin alpha cardiac muscle 1	ACTC	CMD1R																										
ACTG1	actin gamma 1	ACTG	DFNA20	DFNA26																									
ACTG2	actin gamma 2, smooth muscle	ACTL3	ACTA3	ACTSG																									
ACTL6A	actin like 6A	Actl6	BAF53A	Arp4	Baf53a	INO80K	BAF complex 53 kDa subunit	BRG1-associated factor	actin-related protein 4	INO80 complex subunit K																			
ACTL6B	actin like 6B	ACTL6	BAF53B																										
ACTL7A	actin like 7A																												
ACTL7B	actin like 7B	Tact1																											
ACTL8	actin like 8	CT57	cancer/testis antigen 57																										
ACTL9	actin like 9	MGC33407																											
ACTL10	actin like 10	C20orf134																											
ACTN1	actinin alpha 1																												
ACTN2	actinin alpha 2																												
ACTN3	actinin alpha 3																												
ACTN4	actinin alpha 4	FSGS1																											
ACTR1A	actin related protein 1A	ARP1	Arp1A	centractin alpha																									
ACTR1B	actin related protein 1B	CTRN2	Arp1B	centractin beta																									
ACTR2	actin related protein 2	ARP2																											
ACTR3	actin related protein 3	ARP3																											
ACTR3B	actin related protein 3B	ARP11	ARP3beta																										
ACTR3C	actin related protein 3C	ARP11																											
ACTR5	actin related protein 5	FLJ12785	Arp5	INO80M	INO80 complex subunit M																								
ACTR6	actin related protein 6	ARP6	FLJ13433																										
ACTR8	actin related protein 8	INO80N	ARP8	INO80 complex subunit N																									
ACTR10	actin related protein 10	HARP11	ACTR11	Arp11	Arp10																								
ACTRT1	actin related protein T1	AIP1	KIAA0705	ARIP1	Arp-T1																								
ACTRT2	actin related protein T2	Arp-T2	ARPM2	FLJ25424																									
ACTRT3	actin related protein T3	ARPM1	actin related protein M1																										
ACVR1	activin A receptor type 1	ACVRLK2	SKR1	ALK2	ACVR1A																								
ACVR1B	activin A receptor type 1B	ACVRLK4	ALK4	SKR2	ActRIB																								
ACVR1C	activin A receptor type 1C	ALK7	ACVRLK7																										
ACVR2A	activin A receptor type 2A	ACVR2	ACTRII																										
ACVR2B	activin A receptor type 2B	ActR-IIB																											
ACVRL1	activin A receptor like type 1	ACVRLK1	ORW2	HHT2	ALK1	HHT	activin receptor-like kinase 1																						
ACY1	aminoacylase 1																												
ACY3	aminoacylase 3	HCBP1	MGC9740	ACY-3	N-acyl-aromatic-L-amino acid amidohydrolase																								
ACYP1	acylphosphatase 1																												
ACYP2	acylphosphatase 2																												
ADA	adenosine deaminase	ADA1																											
ADAD1	adenosine deaminase domain containing 1	Tenr																											
ADAD2	adenosine deaminase domain containing 2	TENRL	FLJ00337																										
ADAL	adenosine deaminase like																												
ADAM2	ADAM metallopeptidase domain 2	FTNB	PH-30b	PH30	CT15	cancer/testis antigen 15																							
ADAM7	ADAM metallopeptidase domain 7	GP-83	EAPI																										
ADAM8	ADAM metallopeptidase domain 8	CD156	MS2	CD156A																									
ADAM9	ADAM metallopeptidase domain 9	CORD9	MDC9	KIAA0021	MCMP	Mltng	meltrin gamma																						
ADAM10	ADAM metallopeptidase domain 10	kuz	MADM	HsT18717	CD156C																								
ADAM11	ADAM metallopeptidase domain 11	MDC	metalloproteinase-like, disintegrin-like, cysteine-rich protein																										
ADAM12	ADAM metallopeptidase domain 12	MCMPMltna	MLTN	meltrin alpha																									
ADAM15	ADAM metallopeptidase domain 15	MDC15	metargidin																										
ADAM17	ADAM metallopeptidase domain 17	TACE	cSVP	CD156B	cartilage snake venom-like protease	TNF-alpha convertase enzyme	a disintegrin and metalloproteinase 17																						
ADAM18	ADAM metallopeptidase domain 18	tMDCIII	ADAM27																										
ADAM19	ADAM metallopeptidase domain 19	MLTNB	meltrin beta																										
ADAM20	ADAM metallopeptidase domain 20																												
ADAM21	ADAM metallopeptidase domain 21	ADAM31																											
ADAM22	ADAM metallopeptidase domain 22	MDC2	metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2																										
ADAM23	ADAM metallopeptidase domain 23	MDC3																											
ADAM28	ADAM metallopeptidase domain 28	eMDCII	MDC-Lm	MDC-Ls	ADAM23																								
ADAM29	ADAM metallopeptidase domain 29	svph1	CT73	cancer/testis antigen 73																									
ADAM30	ADAM metallopeptidase domain 30	svph4																											
ADAM32	ADAM metallopeptidase domain 32																												
ADAM33	ADAM metallopeptidase domain 33	C20orf153	DKFZp434K0521	dJ964F7.1																									
ADAMDEC1	ADAM like decysin 1	M12.219																											
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	C3-C5	METH1	KIAA1346																									
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	ADAMTS-3	hPCPNI	PCINP	ADAM-TS2	NPI	procollagen I N-proteinase	procollagen N-endopeptidase																					
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	KIAA0366	ADAMTS-4																										
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	KIAA0688	ADAMTS-2	ADMP-1																									
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	ADMP-2	ADAMTS11	aggrecanase-2																									
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	ADAM-TS6	a disintegrin and metalloproteinase with thrombospondin motifs 6																										
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	ADAM-TS7	DKFZp434H204	COMPase	a disintegrin and metalloprotease with thrombospondin motifs-7 preproprotein																								
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	METH2	FLJ41712	ADAM-TS8																									
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	KIAA1312																											
